OBJECTID,GEO.id,acs_lf,dec_lfp,acs_em,acs_emp_x,acs_emp_y,acs_ue,acs_uep,acs_nw,acs_nwp,acs_flf,acs_flfp
357,1400000US51059452700,1493,0.4,2965,75.0,75.0,151,3.8,144,20.9,2100,2100
358,1400000US51059452801,1090,0.9,2516,70.7,70.7,93,2.6,151,25.8,1636,1636
359,1400000US51059460100,978,0.9,2133,63.3,63.3,97,2.9,322,32.9,1729,1729
360,1400000US51059460400,1298,0.8,2402,63.8,63.8,128,3.4,308,32.0,2113,2113
361,1400000US51059460501,684,0.0,1220,63.2,63.2,112,5.8,137,30.9,1030,1030
362,1400000US51059460502,1952,0.0,3748,73.1,73.1,116,2.3,268,24.7,2734,2734
363,1400000US51059460701,812,0.0,1793,68.9,68.9,102,3.9,223,27.1,1276,1276
364,1400000US51059460702,1077,0.0,2382,69.6,69.6,53,1.5,303,28.9,1714,1714
365,1400000US51059460800,774,0.0,1793,71.7,71.7,79,3.2,193,25.1,1172,1172
366,1400000US51059460900,522,0.0,1125,61.9,61.9,47,2.6,205,35.5,920,920
367,1400000US51059461100,1568,0.9,3709,66.7,66.7,109,2.0,441,30.4,2673,2673
368,1400000US51059461201,1155,0.7,2327,65.1,65.1,85,2.4,169,31.9,1916,1916
369,1400000US51059461202,1372,1.3,2632,69.5,69.5,204,5.4,289,23.8,2071,2071
370,1400000US51059461500,1497,0.9,3706,74.1,74.1,58,1.2,383,23.9,2307,2307
371,1400000US51059461602,1484,0.0,2735,80.9,80.9,261,7.7,270,11.3,1733,1733
372,1400000US51059461700,1601,0.8,3615,71.3,71.3,74,1.5,454,26.4,2451,2451
373,1400000US51059461801,355,0.0,589,66.6,66.6,41,4.6,41,28.7,490,490
374,1400000US51059461802,1329,2.4,2537,69.8,69.8,192,5.3,176,22.6,1976,1976
375,1400000US51059461902,371,0.0,1174,82.8,82.8,5,0.4,10,16.9,533,533
376,1400000US51059470100,671,0.4,1434,64.8,64.8,24,1.1,191,33.7,1176,1176
377,1400000US51059470300,715,0.0,1529,61.4,61.4,76,3.1,140,35.5,1279,1279
