,GEO.id,sss80,HC03_VC47,sssd49,vfvf22
0,1400000US11001000100,0,0.0,0,1.2
1,1400000US11001000201,0,0.0,0,7.6
2,1400000US11001000202,0,0.0,0,4.5
3,1400000US11001000300,15,0.0,15,2.2
4,1400000US11001000400,0,0.0,0,2.8
5,1400000US11001000501,0,0.0,0,3.3
6,1400000US11001000502,0,0.0,0,5.6
7,1400000US11001000600,3,0.0,3,11.8
8,1400000US11001000701,0,0.0,0,11.0
9,1400000US11001000702,0,0.0,0,2.2
10,1400000US11001000801,0,0.0,0,2.7
11,1400000US11001000802,0,0.0,0,9.5
12,1400000US11001000901,0,0.0,0,6.7
13,1400000US11001000902,0,0.0,0,1.2
14,1400000US11001001001,0,0.0,0,4.3
15,1400000US11001001002,0,0.0,0,10.2
16,1400000US11001001100,0,0.0,0,5.6
17,1400000US11001001200,0,0.0,0,4.8
18,1400000US11001001301,0,0.0,0,9.0
19,1400000US11001001302,0,0.0,0,4.8
20,1400000US11001001401,0,0.0,0,6.8
21,1400000US11001001402,0,0.0,0,19.7
22,1400000US11001001500,0,0.0,0,13.8
23,1400000US11001001600,0,0.0,0,72.7
24,1400000US11001001702,0,0.0,0,62.1
25,1400000US11001001803,0,0.0,0,72.5
26,1400000US11001001804,0,0.0,0,62.9
27,1400000US11001001901,0,0.0,0,84.5
28,1400000US11001001902,0,0.0,0,82.3
29,1400000US11001002001,0,0.0,0,51.9
30,1400000US11001002002,0,0.0,0,63.2
31,1400000US11001002101,0,0.0,0,66.4
32,1400000US11001002102,0,0.0,0,67.2
33,1400000US11001002201,0,0.0,0,78.6
34,1400000US11001002202,0,0.0,0,79.4
35,1400000US11001002301,0,0.0,0,77.2
36,1400000US11001002302,0,0.0,0,68.6
37,1400000US11001002400,0,0.0,0,69.8
38,1400000US11001002501,0,0.0,0,77.3
39,1400000US11001002502,0,0.0,0,49.8
40,1400000US11001002600,10,0.0,10,51.6
41,1400000US11001002701,0,0.0,0,21.9
42,1400000US11001002702,0,0.0,0,22.1
