GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1565,151,582,106,983,143
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1490,119,713,106,777,141
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2123,125,803,135,1320,168
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1597,130,649,113,948,119
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",1791,182,382,122,1409,182
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",2164,139,1191,172,973,174
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1094,110,594,122,500,123
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",1526,131,187,85,1339,128
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",802,92,274,114,528,120
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",900,82,510,70,390,102
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1319,124,176,69,1143,133
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",921,77,262,96,659,116
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1341,115,432,110,909,115
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",804,131,462,105,342,122
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",3453,201,1047,196,2406,236
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",3890,234,1240,208,2650,247
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3457,207,1426,223,2031,270
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",3792,234,1432,184,2360,254
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",3395,261,1291,190,2104,250
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",1692,169,648,105,1044,158
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",1479,163,139,70,1340,170
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",1009,88,240,87,769,100
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1392,116,763,136,629,125
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",1008,102,452,67,556,94
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",1771,102,1147,102,624,113
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",794,84,351,86,443,103
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",873,63,572,101,301,88
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",1053,84,662,109,391,102
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",1131,101,588,117,543,118
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1220,92,460,99,760,122
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",698,114,201,70,497,112
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",769,137,15,23,754,138
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1213,125,456,107,757,141
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",789,88,64,36,725,94
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",1125,78,75,47,1050,86
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",1068,146,165,94,903,159
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",990,88,71,48,919,90
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",1126,83,407,89,719,106
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",1015,88,42,33,973,93
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1484,96,352,85,1132,116
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",1593,139,430,113,1163,167
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",847,109,222,65,625,113
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",1061,97,219,83,842,120
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",1824,158,913,152,911,158
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",2065,138,1107,207,958,205
