GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Unmarried-partner households:,Margin of Error; Unmarried-partner households:,Estimate; Unmarried-partner households: - Male householder and male partner,Margin of Error; Unmarried-partner households: - Male householder and male partner,Estimate; Unmarried-partner households: - Male householder and female partner,Margin of Error; Unmarried-partner households: - Male householder and female partner,Estimate; Unmarried-partner households: - Female householder and female partner,Margin of Error; Unmarried-partner households: - Female householder and female partner,Estimate; Unmarried-partner households: - Female householder and male partner,Margin of Error; Unmarried-partner households: - Female householder and male partner,Estimate; All other households,Margin of Error; All other households
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",973,82,86,41,46,26,19,16,0,12,21,27,887,93
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",2551,176,190,87,48,50,71,62,0,12,71,56,2361,191
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",2180,161,243,90,71,58,90,53,15,23,67,46,1937,179
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",1771,95,171,93,12,15,66,59,0,12,93,71,1600,136
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",2035,113,194,71,17,20,110,65,11,14,56,40,1841,132
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",1595,93,138,64,20,24,54,40,0,12,64,51,1457,98
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",1460,99,113,53,51,36,16,13,0,12,46,36,1347,113
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",995,89,92,49,6,11,31,30,12,20,43,39,903,99
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",1730,127,145,69,21,24,44,47,17,19,63,52,1585,145
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",1431,105,92,49,42,31,0,12,8,12,42,35,1339,110
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",917,74,44,29,11,10,0,12,5,8,28,28,873,76
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",1270,113,160,86,53,60,57,51,0,17,50,50,1110,126
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",1072,78,76,33,28,19,31,20,0,12,17,15,996,81
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",1925,160,162,75,35,38,69,59,26,40,32,36,1763,172
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",2328,175,199,71,54,37,61,42,0,17,84,55,2129,187
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",2821,134,368,114,113,73,126,75,0,17,129,67,2453,182
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",2647,154,261,112,35,29,98,85,42,43,86,52,2386,184
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2157,160,237,98,14,22,81,55,0,12,142,83,1920,174
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1705,133,196,82,56,35,50,52,0,12,90,47,1509,133
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1437,117,103,70,30,28,19,25,0,12,54,58,1334,123
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2101,89,309,98,111,62,106,63,28,32,64,46,1792,122
