GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,Unmarried-partner households:
VD03,Unmarried-partner households: - Male householder and male partner
VD04,Unmarried-partner households: - Male householder and female partner
VD05,Unmarried-partner households: - Female householder and female partner
VD06,Unmarried-partner households: - Female householder and male partner
VD07,All other households
