GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07
Id,Id2,Geography,Total:,Unmarried-partner households:,Unmarried-partner households: - Male householder and male partner,Unmarried-partner households: - Male householder and female partner,Unmarried-partner households: - Female householder and female partner,Unmarried-partner households: - Female householder and male partner,All other households
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",1797,152,8,62,0,82,1645
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",2460,191,46,84,16,45,2269
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",2857,233,63,98,24,48,2624
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2293,214,67,76,8,63,2079
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1831,178,91,36,8,43,1653
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1530,93,48,19,26,0,1437
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2148,267,156,60,0,51,1881
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1969,140,58,31,12,39,1829
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",1830,217,93,69,16,39,1613
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",1078,103,59,17,0,27,975
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1087,64,0,14,17,33,1023
1400000US11001004700,11001004700,"Census Tract 47, District of Columbia, District of Columbia",1736,57,5,16,0,36,1679
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",846,49,0,32,0,17,797
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1185,68,16,27,0,25,1117
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",879,44,0,20,11,13,835
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",973,84,23,32,0,29,889
1400000US11001005000,11001005000,"Census Tract 50, District of Columbia, District of Columbia",3621,313,127,76,16,94,3308
1400000US11001005100,11001005100,"Census Tract 51, District of Columbia, District of Columbia",568,36,30,0,0,6,532
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",3043,251,119,38,16,78,2792
1400000US11001005202,11001005202,"Census Tract 52.02, District of Columbia, District of Columbia",481,7,0,0,0,7,474
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3685,325,152,69,16,88,3360
1400000US11001005302,11001005302,"Census Tract 53.02, District of Columbia, District of Columbia",136,4,0,0,0,4,132
