GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",136842,25451
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",-,**
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",135893,24431
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",99063,20378
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",182578,72799
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",89191,9588
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",104375,20401
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",113922,17880
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",81039,7196
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",66352,8722
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",118569,14494
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",92384,25038
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",219583,26494
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",179167,24248
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",147500,12366
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",89119,20346
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",128909,30221
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",109405,19581
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",79098,22574
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",78140,8612
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",126576,39142
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",87826,19799
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",179859,22628
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",135403,19676
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",106154,15114
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",38000,7273
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",38007,8203
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",53750,18522
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",64196,32833
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",47878,6527
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",56808,14969
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",43769,5597
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",45046,9456
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",60882,11627
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",44096,8366
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",54167,28260
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",54022,20090
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",63342,16443
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",32067,23684
