GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2009 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2009 inflation-adjusted dollars)
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",122455,24875
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",119722,53241
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",119688,16420
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",91804,16535
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",176494,23490
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",92109,8410
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",94598,15981
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",110000,21628
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",77019,8357
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",56875,12178
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",114098,8494
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",109698,25006
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",209931,48190
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",162548,8078
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",136121,11090
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",84310,18269
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",154340,20817
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",110625,30921
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",101366,12630
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",79223,6492
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",103529,23322
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",88194,33141
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",180536,26164
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",137434,15413
1400000US11001001701,11001001701,"Census Tract 17.01, District of Columbia, District of Columbia",60227,17392
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",86979,13916
1400000US11001001801,11001001801,"Census Tract 18.01, District of Columbia, District of Columbia",-,**
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",38821,6117
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",35168,5556
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",52031,24477
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",63191,29686
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",38682,14729
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",73500,23383
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",44792,7561
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",48875,13580
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",68382,12671
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",40253,8974
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",74700,18928
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",73826,22902
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",55486,13033
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",51750,18086
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",43971,11040
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",140938,24975
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",57985,8550
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",95488,14429
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",41458,9578
